annotation_id,system_id,query_id,claim_text,annotator_1_judgment,annotator_2_judgment,annotator_3_judgment,majority_judgment,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,mean_confidence,evidence_snippet,fleiss_kappa_batch,annotation_date,adjudicated
FC4-0125,S1,S1-Q22619,Sample claim 125 from Customer Support Chatbot output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 125.,0.726,2024-11-12,0
FC4-0126,S2,S2-Q15651,Sample claim 126 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 126.,0.726,2024-12-13,0
FC4-0127,S3,S3-Q46218,Sample claim 127 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 127.,0.726,2024-11-18,0
FC4-0128,S4,S4-Q08274,Sample claim 128 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 128.,0.726,2024-12-04,0
FC4-0129,S1,S1-Q29946,Sample claim 129 from Customer Support Chatbot output.,INCORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 129.,0.726,2024-10-02,0
FC4-0130,S2,S2-Q17369,Sample claim 130 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 130.,0.726,2024-11-13,0
FC4-0131,S3,S3-Q24905,Sample claim 131 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 131.,0.726,2024-11-10,0
FC4-0132,S4,S4-Q04485,Sample claim 132 from Medical Triage Assistant output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 132.,0.726,2024-10-31,0
FC4-0133,S1,S1-Q06452,Sample claim 133 from Customer Support Chatbot output.,CORRECT,INCORRECT,INCORRECT,INCORRECT,5,3,4,4.0,Evidence snippet supporting judgment for claim 133.,0.726,2024-12-21,0
FC4-0134,S2,S2-Q21259,Sample claim 134 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 134.,0.726,2024-10-08,0
FC4-0135,S3,S3-Q44683,Sample claim 135 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 135.,0.726,2024-10-24,0
FC4-0136,S4,S4-Q32616,Sample claim 136 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 136.,0.726,2024-12-14,0
FC4-0137,S1,S1-Q30491,Sample claim 137 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 137.,0.726,2024-11-06,0
FC4-0138,S2,S2-Q41874,Sample claim 138 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 138.,0.726,2024-11-24,0
FC4-0139,S3,S3-Q15546,Sample claim 139 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 139.,0.726,2024-11-18,0
FC4-0140,S4,S4-Q25940,Sample claim 140 from Medical Triage Assistant output.,CORRECT,CORRECT,INCORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 140.,0.726,2024-11-05,0
FC4-0141,S1,S1-Q32554,Sample claim 141 from Customer Support Chatbot output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 141.,0.726,2024-11-06,0
FC4-0142,S2,S2-Q40691,Sample claim 142 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 142.,0.726,2024-11-02,0
FC4-0143,S3,S3-Q41122,Sample claim 143 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 143.,0.726,2024-12-22,0
FC4-0144,S4,S4-Q05907,Sample claim 144 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 144.,0.726,2024-11-07,0
FC4-0145,S1,S1-Q32886,Sample claim 145 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 145.,0.726,2024-11-04,0
FC4-0146,S2,S2-Q22199,Sample claim 146 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 146.,0.726,2024-10-15,0
FC4-0147,S3,S3-Q44198,Sample claim 147 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 147.,0.726,2024-11-20,0
FC4-0148,S4,S4-Q35165,Sample claim 148 from Medical Triage Assistant output.,INCORRECT,UNVERIFIABLE,CORRECT,INCORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 148.,0.726,2024-10-16,1
FC4-0149,S1,S1-Q24345,Sample claim 149 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 149.,0.726,2024-10-14,0
FC4-0150,S2,S2-Q14508,Sample claim 150 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 150.,0.726,2024-12-22,0
FC4-0151,S3,S3-Q07647,Sample claim 151 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 151.,0.758,2024-10-18,0
FC4-0152,S4,S4-Q35229,Sample claim 152 from Medical Triage Assistant output.,CORRECT,CORRECT,INCORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 152.,0.758,2024-10-18,0
FC4-0153,S1,S1-Q38492,Sample claim 153 from Customer Support Chatbot output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 153.,0.758,2024-10-20,0
FC4-0154,S2,S2-Q02145,Sample claim 154 from AI Code Assistant IDE Plugin output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 154.,0.758,2024-12-28,0
FC4-0155,S3,S3-Q24074,Sample claim 155 from Document Summarization and QA output.,CORRECT,CORRECT,INCORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 155.,0.758,2024-12-09,0
FC4-0156,S4,S4-Q29801,Sample claim 156 from Medical Triage Assistant output.,INCORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 156.,0.758,2024-10-12,0
FC4-0157,S1,S1-Q15963,Sample claim 157 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 157.,0.758,2024-10-17,0
FC4-0158,S2,S2-Q14153,Sample claim 158 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 158.,0.758,2024-10-30,0
FC4-0159,S3,S3-Q08520,Sample claim 159 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 159.,0.758,2024-12-09,0
FC4-0160,S4,S4-Q23478,Sample claim 160 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 160.,0.758,2024-10-31,0
FC4-0161,S1,S1-Q34478,Sample claim 161 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 161.,0.758,2024-10-15,0
FC4-0162,S2,S2-Q29623,Sample claim 162 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 162.,0.758,2024-12-04,0
FC4-0163,S3,S3-Q30019,Sample claim 163 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 163.,0.758,2024-12-22,0
FC4-0164,S4,S4-Q07076,Sample claim 164 from Medical Triage Assistant output.,INCORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 164.,0.758,2024-12-02,0
FC4-0165,S1,S1-Q04305,Sample claim 165 from Customer Support Chatbot output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 165.,0.758,2024-10-17,0
FC4-0166,S2,S2-Q34771,Sample claim 166 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 166.,0.758,2024-11-07,0
FC4-0167,S3,S3-Q42659,Sample claim 167 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 167.,0.758,2024-12-10,0
FC4-0168,S4,S4-Q29721,Sample claim 168 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,4,3.67,Evidence snippet supporting judgment for claim 168.,0.758,2024-11-21,0
FC4-0169,S1,S1-Q10004,Sample claim 169 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 169.,0.758,2024-12-27,0
FC4-0170,S2,S2-Q48798,Sample claim 170 from AI Code Assistant IDE Plugin output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 170.,0.758,2024-11-17,0
FC4-0171,S3,S3-Q43910,Sample claim 171 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,4,4.67,Evidence snippet supporting judgment for claim 171.,0.758,2024-10-16,0
FC4-0172,S4,S4-Q18851,Sample claim 172 from Medical Triage Assistant output.,CORRECT,UNVERIFIABLE,INCORRECT,UNVERIFIABLE,4,5,3,4.0,Evidence snippet supporting judgment for claim 172.,0.758,2024-12-16,1
FC4-0173,S1,S1-Q14697,Sample claim 173 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 173.,0.758,2024-10-14,0
FC4-0174,S2,S2-Q28123,Sample claim 174 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,3,4.0,Evidence snippet supporting judgment for claim 174.,0.758,2024-12-11,0
FC4-0175,S3,S3-Q39912,Sample claim 175 from Document Summarization and QA output.,INCORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 175.,0.758,2024-12-24,0
FC4-0176,S4,S4-Q23005,Sample claim 176 from Medical Triage Assistant output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 176.,0.758,2024-10-01,0
FC4-0177,S1,S1-Q41496,Sample claim 177 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 177.,0.758,2024-10-04,0
FC4-0178,S2,S2-Q24252,Sample claim 178 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 178.,0.758,2024-11-09,0
FC4-0179,S3,S3-Q10317,Sample claim 179 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 179.,0.758,2024-12-19,0
FC4-0180,S4,S4-Q28970,Sample claim 180 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,4,5,4.33,Evidence snippet supporting judgment for claim 180.,0.758,2024-11-23,0
FC4-0181,S1,S1-Q44448,Sample claim 181 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 181.,0.758,2024-12-26,0
FC4-0182,S2,S2-Q03591,Sample claim 182 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 182.,0.758,2024-10-01,0
FC4-0183,S3,S3-Q07864,Sample claim 183 from Document Summarization and QA output.,CORRECT,INCORRECT,CORRECT,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 183.,0.758,2024-10-01,0
FC4-0184,S4,S4-Q32786,Sample claim 184 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,5,5,3,4.33,Evidence snippet supporting judgment for claim 184.,0.758,2024-12-11,0
FC4-0185,S1,S1-Q01229,Sample claim 185 from Customer Support Chatbot output.,UNVERIFIABLE,UNVERIFIABLE,CORRECT,UNVERIFIABLE,5,3,4,4.0,Evidence snippet supporting judgment for claim 185.,0.758,2024-11-28,0
FC4-0186,S2,S2-Q41953,Sample claim 186 from AI Code Assistant IDE Plugin output.,UNVERIFIABLE,UNVERIFIABLE,CORRECT,UNVERIFIABLE,5,4,5,4.67,Evidence snippet supporting judgment for claim 186.,0.758,2024-11-23,0
FC4-0187,S3,S3-Q45195,Sample claim 187 from Document Summarization and QA output.,CORRECT,CORRECT,INCORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 187.,0.758,2024-11-16,0
FC4-0188,S4,S4-Q05155,Sample claim 188 from Medical Triage Assistant output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 188.,0.758,2024-11-20,0
FC4-0189,S1,S1-Q41500,Sample claim 189 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 189.,0.758,2024-10-15,0
FC4-0190,S2,S2-Q09680,Sample claim 190 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 190.,0.758,2024-10-31,0
FC4-0191,S3,S3-Q11610,Sample claim 191 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 191.,0.758,2024-12-20,0
FC4-0192,S4,S4-Q42140,Sample claim 192 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 192.,0.758,2024-12-21,0
FC4-0193,S1,S1-Q04476,Sample claim 193 from Customer Support Chatbot output.,INCORRECT,CORRECT,INCORRECT,INCORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 193.,0.758,2024-11-30,0
FC4-0194,S2,S2-Q04863,Sample claim 194 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 194.,0.758,2024-11-09,0
FC4-0195,S3,S3-Q05918,Sample claim 195 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 195.,0.758,2024-12-18,0
FC4-0196,S4,S4-Q37465,Sample claim 196 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,4,4.0,Evidence snippet supporting judgment for claim 196.,0.758,2024-12-23,0
FC4-0197,S1,S1-Q22508,Sample claim 197 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 197.,0.758,2024-12-31,0
FC4-0198,S2,S2-Q34346,Sample claim 198 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 198.,0.758,2024-12-06,0
FC4-0199,S3,S3-Q44493,Sample claim 199 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,4,4,4.0,Evidence snippet supporting judgment for claim 199.,0.758,2024-12-16,0
FC4-0200,S4,S4-Q44459,Sample claim 200 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 200.,0.758,2024-11-19,0
FC4-0201,S1,S1-Q05342,Sample claim 201 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,4,4.0,Evidence snippet supporting judgment for claim 201.,0.725,2024-12-14,0
FC4-0202,S2,S2-Q25688,Sample claim 202 from AI Code Assistant IDE Plugin output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,5,5,5,5.0,Evidence snippet supporting judgment for claim 202.,0.725,2024-10-17,0
FC4-0203,S3,S3-Q08376,Sample claim 203 from Document Summarization and QA output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 203.,0.725,2024-12-25,0
FC4-0204,S4,S4-Q43940,Sample claim 204 from Medical Triage Assistant output.,CORRECT,INCORRECT,INCORRECT,INCORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 204.,0.725,2024-11-24,0
FC4-0205,S1,S1-Q12584,Sample claim 205 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,3,4,4,3.67,Evidence snippet supporting judgment for claim 205.,0.725,2024-10-29,0
FC4-0206,S2,S2-Q48408,Sample claim 206 from AI Code Assistant IDE Plugin output.,INCORRECT,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 206.,0.725,2024-12-07,0
FC4-0207,S3,S3-Q10110,Sample claim 207 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 207.,0.725,2024-10-21,0
FC4-0208,S4,S4-Q02864,Sample claim 208 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,4,4.0,Evidence snippet supporting judgment for claim 208.,0.725,2024-11-22,0
FC4-0209,S1,S1-Q29421,Sample claim 209 from Customer Support Chatbot output.,CORRECT,CORRECT,INCORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 209.,0.725,2024-10-30,0
FC4-0210,S2,S2-Q44454,Sample claim 210 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 210.,0.725,2024-12-13,0
FC4-0211,S3,S3-Q27438,Sample claim 211 from Document Summarization and QA output.,INCORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 211.,0.725,2024-10-21,0
FC4-0212,S4,S4-Q31496,Sample claim 212 from Medical Triage Assistant output.,UNVERIFIABLE,UNVERIFIABLE,CORRECT,UNVERIFIABLE,4,3,5,4.0,Evidence snippet supporting judgment for claim 212.,0.725,2024-11-17,0
FC4-0213,S1,S1-Q10507,Sample claim 213 from Customer Support Chatbot output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 213.,0.725,2024-11-04,0
FC4-0214,S2,S2-Q22911,Sample claim 214 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 214.,0.725,2024-10-04,0
FC4-0215,S3,S3-Q14716,Sample claim 215 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 215.,0.725,2024-10-04,0
FC4-0216,S4,S4-Q02511,Sample claim 216 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 216.,0.725,2024-11-06,0
FC4-0217,S1,S1-Q40328,Sample claim 217 from Customer Support Chatbot output.,INCORRECT,CORRECT,UNVERIFIABLE,INCORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 217.,0.725,2024-10-01,1
FC4-0218,S2,S2-Q39904,Sample claim 218 from AI Code Assistant IDE Plugin output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 218.,0.725,2024-12-07,0
FC4-0219,S3,S3-Q27514,Sample claim 219 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 219.,0.725,2024-12-21,0
FC4-0220,S4,S4-Q01078,Sample claim 220 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 220.,0.725,2024-12-20,0
FC4-0221,S1,S1-Q23123,Sample claim 221 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 221.,0.725,2024-10-31,0
FC4-0222,S2,S2-Q34476,Sample claim 222 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,3,4.0,Evidence snippet supporting judgment for claim 222.,0.725,2024-12-09,0
FC4-0223,S3,S3-Q41660,Sample claim 223 from Document Summarization and QA output.,CORRECT,INCORRECT,CORRECT,CORRECT,4,4,3,3.67,Evidence snippet supporting judgment for claim 223.,0.725,2024-11-19,0
FC4-0224,S4,S4-Q48035,Sample claim 224 from Medical Triage Assistant output.,INCORRECT,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 224.,0.725,2024-12-24,0
FC4-0225,S1,S1-Q23089,Sample claim 225 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,3,3.33,Evidence snippet supporting judgment for claim 225.,0.725,2024-12-09,0
FC4-0226,S2,S2-Q31362,Sample claim 226 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 226.,0.725,2024-12-20,0
FC4-0227,S3,S3-Q13212,Sample claim 227 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,4,3.67,Evidence snippet supporting judgment for claim 227.,0.725,2024-10-06,0
FC4-0228,S4,S4-Q35589,Sample claim 228 from Medical Triage Assistant output.,CORRECT,UNVERIFIABLE,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 228.,0.725,2024-11-30,0
FC4-0229,S1,S1-Q21754,Sample claim 229 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,4,3,5,4.0,Evidence snippet supporting judgment for claim 229.,0.725,2024-11-04,0
FC4-0230,S2,S2-Q22220,Sample claim 230 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 230.,0.725,2024-10-24,0
FC4-0231,S3,S3-Q47651,Sample claim 231 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,4,3,4.0,Evidence snippet supporting judgment for claim 231.,0.725,2024-11-24,0
FC4-0232,S4,S4-Q06724,Sample claim 232 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 232.,0.725,2024-10-11,0
FC4-0233,S1,S1-Q45205,Sample claim 233 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,4,3,4.0,Evidence snippet supporting judgment for claim 233.,0.725,2024-11-26,0
FC4-0234,S2,S2-Q17994,Sample claim 234 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 234.,0.725,2024-12-21,0
FC4-0235,S3,S3-Q33626,Sample claim 235 from Document Summarization and QA output.,INCORRECT,INCORRECT,CORRECT,INCORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 235.,0.725,2024-12-26,0
FC4-0236,S4,S4-Q08273,Sample claim 236 from Medical Triage Assistant output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,5,4,3,4.0,Evidence snippet supporting judgment for claim 236.,0.725,2024-10-09,0
FC4-0237,S1,S1-Q10056,Sample claim 237 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 237.,0.725,2024-12-26,0
FC4-0238,S2,S2-Q34699,Sample claim 238 from AI Code Assistant IDE Plugin output.,CORRECT,CORRECT,CORRECT,CORRECT,3,5,3,3.67,Evidence snippet supporting judgment for claim 238.,0.725,2024-11-16,0
FC4-0239,S3,S3-Q12193,Sample claim 239 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,5,3.67,Evidence snippet supporting judgment for claim 239.,0.725,2024-12-03,0
FC4-0240,S4,S4-Q14063,Sample claim 240 from Medical Triage Assistant output.,CORRECT,INCORRECT,CORRECT,CORRECT,4,5,4,4.33,Evidence snippet supporting judgment for claim 240.,0.725,2024-12-18,0
FC4-0241,S1,S1-Q29626,Sample claim 241 from Customer Support Chatbot output.,CORRECT,INCORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 241.,0.725,2024-10-23,0
FC4-0242,S2,S2-Q22769,Sample claim 242 from AI Code Assistant IDE Plugin output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,5,4,5,4.67,Evidence snippet supporting judgment for claim 242.,0.725,2024-12-30,0
FC4-0243,S3,S3-Q45890,Sample claim 243 from Document Summarization and QA output.,CORRECT,CORRECT,UNVERIFIABLE,CORRECT,3,5,5,4.33,Evidence snippet supporting judgment for claim 243.,0.725,2024-12-21,0
FC4-0244,S4,S4-Q32377,Sample claim 244 from Medical Triage Assistant output.,CORRECT,CORRECT,CORRECT,CORRECT,3,3,3,3.0,Evidence snippet supporting judgment for claim 244.,0.725,2024-10-04,0
FC4-0245,S1,S1-Q05651,Sample claim 245 from Customer Support Chatbot output.,CORRECT,CORRECT,CORRECT,CORRECT,5,3,5,4.33,Evidence snippet supporting judgment for claim 245.,0.725,2024-10-09,0
FC4-0246,S2,S2-Q37677,Sample claim 246 from AI Code Assistant IDE Plugin output.,CORRECT,INCORRECT,CORRECT,CORRECT,5,4,4,4.33,Evidence snippet supporting judgment for claim 246.,0.725,2024-10-10,0
FC4-0247,S3,S3-Q22579,Sample claim 247 from Document Summarization and QA output.,CORRECT,CORRECT,CORRECT,CORRECT,4,5,5,4.67,Evidence snippet supporting judgment for claim 247.,0.725,2024-10-17,0
FC4-0248,S4,S4-Q32956,Sample claim 248 from Medical Triage Assistant output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,3,4,3.33,Evidence snippet supporting judgment for claim 248.,0.725,2024-10-08,0
FC4-0249,S1,S1-Q14777,Sample claim 249 from Customer Support Chatbot output.,UNVERIFIABLE,CORRECT,CORRECT,CORRECT,3,4,5,4.0,Evidence snippet supporting judgment for claim 249.,0.725,2024-11-14,0
FC4-0250,S2,S2-Q41620,Sample claim 250 from AI Code Assistant IDE Plugin output.,INCORRECT,CORRECT,CORRECT,CORRECT,3,4,3,3.33,Evidence snippet supporting judgment for claim 250.,0.725,2024-12-10,0
