annotation_id,system_id,query_id,explanation_text_excerpt,annotator_1,annotator_2,annotator_3,majority_label,dim_accuracy_mean,dim_completeness_mean,dim_no_post_hoc_mean,dim_source_mean,annotator_1_confidence,annotator_2_confidence,annotator_3_confidence,fleiss_kappa_batch,annotation_date,adjudicated
TI2-0117,S1,S1-Q26348,Explanation excerpt 117 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.882,0.75,0.937,0.816,3,4,5,0.681,2024-12-14,0
TI2-0118,S2,S2-Q13746,Explanation excerpt 118 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.722,0.531,0.897,0.737,5,4,4,0.681,2024-11-08,0
TI2-0119,S3,S3-Q33776,Explanation excerpt 119 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.759,0.805,0.704,0.557,4,4,5,0.681,2024-12-30,0
TI2-0120,S4,S4-Q17560,Explanation excerpt 120 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.928,0.713,0.834,0.835,5,5,4,0.681,2024-11-25,0
TI2-0121,S1,S1-Q09683,Explanation excerpt 121 from Customer Support Chatbot.,UNFAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.684,0.799,0.88,0.862,3,4,4,0.681,2024-11-22,1
TI2-0122,S2,S2-Q18812,Explanation excerpt 122 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.826,0.603,0.83,0.7,3,4,4,0.681,2024-10-15,0
TI2-0123,S3,S3-Q36689,Explanation excerpt 123 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.947,0.669,0.922,0.625,4,4,4,0.681,2024-11-04,0
TI2-0124,S4,S4-Q42225,Explanation excerpt 124 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.898,0.886,0.796,0.557,5,5,3,0.681,2024-10-11,0
TI2-0125,S1,S1-Q43086,Explanation excerpt 125 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.91,0.659,0.902,0.862,4,4,5,0.681,2024-10-31,0
TI2-0126,S2,S2-Q34424,Explanation excerpt 126 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.688,0.854,0.721,0.595,5,5,5,0.681,2024-11-10,1
TI2-0127,S3,S3-Q27714,Explanation excerpt 127 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.676,0.543,0.714,0.652,5,5,3,0.681,2024-11-22,0
TI2-0128,S4,S4-Q20742,Explanation excerpt 128 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.791,0.69,0.724,0.653,4,5,3,0.681,2024-10-19,0
TI2-0129,S1,S1-Q02282,Explanation excerpt 129 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.895,0.765,0.932,0.806,3,5,5,0.681,2024-12-25,0
TI2-0130,S2,S2-Q07999,Explanation excerpt 130 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.787,0.595,0.783,0.553,5,4,5,0.681,2024-11-20,0
TI2-0131,S3,S3-Q10501,Explanation excerpt 131 from Document Summarization and QA.,UNFAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.921,0.753,0.914,0.834,3,4,3,0.681,2024-11-22,0
TI2-0132,S4,S4-Q27064,Explanation excerpt 132 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.924,0.633,0.777,0.89,4,4,5,0.681,2024-10-13,0
TI2-0133,S1,S1-Q47791,Explanation excerpt 133 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.885,0.795,0.786,0.56,4,4,5,0.681,2024-10-07,0
TI2-0134,S2,S2-Q26258,Explanation excerpt 134 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.67,0.622,0.823,0.591,5,3,3,0.681,2024-11-01,0
TI2-0135,S3,S3-Q26891,Explanation excerpt 135 from Document Summarization and QA.,FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.877,0.628,0.794,0.822,3,5,5,0.681,2024-11-03,1
TI2-0136,S4,S4-Q27165,Explanation excerpt 136 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.729,0.657,0.763,0.859,4,3,3,0.681,2024-12-13,0
TI2-0137,S1,S1-Q14989,Explanation excerpt 137 from Customer Support Chatbot.,FAITHFUL,UNFAITHFUL,UNFAITHFUL,UNFAITHFUL,0.917,0.89,0.709,0.809,5,5,5,0.681,2024-10-22,0
TI2-0138,S2,S2-Q11150,Explanation excerpt 138 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.932,0.547,0.866,0.711,3,3,4,0.681,2024-11-28,0
TI2-0139,S3,S3-Q18872,Explanation excerpt 139 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.861,0.653,0.779,0.626,3,3,4,0.681,2024-10-28,0
TI2-0140,S4,S4-Q09565,Explanation excerpt 140 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.61,0.89,0.721,0.717,4,3,4,0.681,2024-11-01,0
TI2-0141,S1,S1-Q21185,Explanation excerpt 141 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.941,0.659,0.714,0.692,3,4,3,0.681,2024-11-24,0
TI2-0142,S2,S2-Q15391,Explanation excerpt 142 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.765,0.642,0.832,0.798,3,3,4,0.681,2024-12-16,0
TI2-0143,S3,S3-Q19826,Explanation excerpt 143 from Document Summarization and QA.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.942,0.769,0.69,0.88,5,5,4,0.681,2024-10-06,0
TI2-0144,S4,S4-Q05876,Explanation excerpt 144 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.711,0.712,0.693,0.593,4,4,3,0.681,2024-10-06,0
TI2-0145,S1,S1-Q28187,Explanation excerpt 145 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.699,0.851,0.834,0.832,4,5,4,0.681,2024-11-03,0
TI2-0146,S2,S2-Q36417,Explanation excerpt 146 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.899,0.763,0.889,0.57,5,4,3,0.681,2024-10-20,0
TI2-0147,S3,S3-Q28602,Explanation excerpt 147 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.641,0.858,0.798,0.713,3,5,4,0.681,2024-12-30,0
TI2-0148,S4,S4-Q22912,Explanation excerpt 148 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.633,0.847,0.704,0.612,5,3,3,0.681,2024-12-05,0
TI2-0149,S1,S1-Q34473,Explanation excerpt 149 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.868,0.572,0.926,0.641,3,5,3,0.681,2024-12-03,0
TI2-0150,S2,S2-Q25833,Explanation excerpt 150 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.731,0.872,0.682,0.67,5,5,3,0.681,2024-10-04,1
TI2-0151,S3,S3-Q38942,Explanation excerpt 151 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.83,0.632,0.663,0.78,4,5,4,0.617,2024-11-27,0
TI2-0152,S4,S4-Q03191,Explanation excerpt 152 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.881,0.613,0.889,0.825,5,3,3,0.617,2024-12-10,0
TI2-0153,S1,S1-Q05846,Explanation excerpt 153 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.607,0.583,0.767,0.699,3,3,4,0.617,2024-12-22,0
TI2-0154,S2,S2-Q20323,Explanation excerpt 154 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.916,0.741,0.758,0.586,4,4,5,0.617,2024-11-17,0
TI2-0155,S3,S3-Q39344,Explanation excerpt 155 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.748,0.803,0.893,0.777,4,4,5,0.617,2024-11-25,0
TI2-0156,S4,S4-Q42442,Explanation excerpt 156 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.84,0.562,0.799,0.783,4,5,3,0.617,2024-12-07,0
TI2-0157,S1,S1-Q08375,Explanation excerpt 157 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.84,0.62,0.725,0.708,4,4,3,0.617,2024-12-12,0
TI2-0158,S2,S2-Q27068,Explanation excerpt 158 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.633,0.764,0.821,0.644,3,5,4,0.617,2024-11-02,0
TI2-0159,S3,S3-Q11768,Explanation excerpt 159 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.875,0.837,0.664,0.704,5,5,4,0.617,2024-12-30,0
TI2-0160,S4,S4-Q17372,Explanation excerpt 160 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.719,0.867,0.893,0.628,5,4,5,0.617,2024-10-11,0
TI2-0161,S1,S1-Q01175,Explanation excerpt 161 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,0.602,0.547,0.702,0.727,3,4,5,0.617,2024-12-28,0
TI2-0162,S2,S2-Q40534,Explanation excerpt 162 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.885,0.747,0.857,0.906,5,4,4,0.617,2024-12-26,0
TI2-0163,S3,S3-Q01042,Explanation excerpt 163 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.844,0.575,0.658,0.728,3,3,3,0.617,2024-10-19,0
TI2-0164,S4,S4-Q19721,Explanation excerpt 164 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.869,0.559,0.777,0.593,5,3,3,0.617,2024-10-20,0
TI2-0165,S1,S1-Q15901,Explanation excerpt 165 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.67,0.728,0.9,0.569,3,4,5,0.617,2024-10-02,0
TI2-0166,S2,S2-Q37924,Explanation excerpt 166 from AI Code Assistant IDE Plugin.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.809,0.722,0.737,0.73,4,4,5,0.617,2024-12-02,0
TI2-0167,S3,S3-Q03979,Explanation excerpt 167 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.785,0.669,0.745,0.573,4,3,5,0.617,2024-12-22,1
TI2-0168,S4,S4-Q45713,Explanation excerpt 168 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.753,0.565,0.868,0.724,5,4,4,0.617,2024-11-26,0
TI2-0169,S1,S1-Q43055,Explanation excerpt 169 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.764,0.853,0.867,0.694,4,5,5,0.617,2024-11-23,0
TI2-0170,S2,S2-Q13580,Explanation excerpt 170 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.699,0.8,0.85,0.598,4,3,5,0.617,2024-10-26,0
TI2-0171,S3,S3-Q13726,Explanation excerpt 171 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.795,0.9,0.758,0.646,4,4,3,0.617,2024-12-26,0
TI2-0172,S4,S4-Q28222,Explanation excerpt 172 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.64,0.591,0.819,0.73,3,3,4,0.617,2024-11-13,0
TI2-0173,S1,S1-Q45229,Explanation excerpt 173 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.906,0.742,0.681,0.569,5,4,3,0.617,2024-11-26,0
TI2-0174,S2,S2-Q06677,Explanation excerpt 174 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.888,0.517,0.682,0.783,3,5,5,0.617,2024-10-27,0
TI2-0175,S3,S3-Q48009,Explanation excerpt 175 from Document Summarization and QA.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.905,0.562,0.759,0.853,4,5,4,0.617,2024-10-16,0
TI2-0176,S4,S4-Q22369,Explanation excerpt 176 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.7,0.569,0.73,0.815,3,3,4,0.617,2024-11-23,0
TI2-0177,S1,S1-Q09044,Explanation excerpt 177 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.881,0.665,0.773,0.72,5,4,3,0.617,2024-12-06,0
TI2-0178,S2,S2-Q33905,Explanation excerpt 178 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.93,0.534,0.744,0.913,3,3,5,0.617,2024-10-22,0
TI2-0179,S3,S3-Q03789,Explanation excerpt 179 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.942,0.892,0.89,0.874,5,3,5,0.617,2024-11-07,0
TI2-0180,S4,S4-Q20559,Explanation excerpt 180 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.918,0.503,0.734,0.745,4,5,5,0.617,2024-10-19,0
TI2-0181,S1,S1-Q42732,Explanation excerpt 181 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.755,0.638,0.894,0.79,5,5,5,0.617,2024-10-26,0
TI2-0182,S2,S2-Q48501,Explanation excerpt 182 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.908,0.708,0.812,0.629,4,5,5,0.617,2024-12-05,0
TI2-0183,S3,S3-Q35386,Explanation excerpt 183 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.807,0.597,0.882,0.819,3,3,3,0.617,2024-12-04,0
TI2-0184,S4,S4-Q08115,Explanation excerpt 184 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.617,0.76,0.687,0.66,5,5,4,0.617,2024-10-01,0
TI2-0185,S1,S1-Q41140,Explanation excerpt 185 from Customer Support Chatbot.,FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.833,0.838,0.72,0.661,5,5,5,0.617,2024-12-25,1
TI2-0186,S2,S2-Q48334,Explanation excerpt 186 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.687,0.631,0.825,0.854,5,4,5,0.617,2024-11-16,0
TI2-0187,S3,S3-Q04076,Explanation excerpt 187 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.749,0.552,0.714,0.579,4,3,3,0.617,2024-12-26,0
TI2-0188,S4,S4-Q32692,Explanation excerpt 188 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.823,0.899,0.857,0.901,4,4,5,0.617,2024-11-23,0
TI2-0189,S1,S1-Q46172,Explanation excerpt 189 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.78,0.712,0.858,0.719,5,4,3,0.617,2024-10-05,0
TI2-0190,S2,S2-Q07231,Explanation excerpt 190 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.642,0.729,0.662,0.607,3,5,4,0.617,2024-11-17,1
TI2-0191,S3,S3-Q38642,Explanation excerpt 191 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.748,0.875,0.742,0.655,3,3,3,0.617,2024-10-24,0
TI2-0192,S4,S4-Q27367,Explanation excerpt 192 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.768,0.624,0.786,0.675,4,3,3,0.617,2024-11-18,0
TI2-0193,S1,S1-Q30208,Explanation excerpt 193 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.867,0.767,0.695,0.819,3,5,5,0.617,2024-10-12,0
TI2-0194,S2,S2-Q35455,Explanation excerpt 194 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.616,0.768,0.783,0.653,3,4,4,0.617,2024-10-12,0
TI2-0195,S3,S3-Q42282,Explanation excerpt 195 from Document Summarization and QA.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.643,0.724,0.708,0.779,5,4,5,0.617,2024-12-13,0
TI2-0196,S4,S4-Q07883,Explanation excerpt 196 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,UNFAITHFUL,FAITHFUL,UNFAITHFUL,0.83,0.713,0.939,0.652,4,5,3,0.617,2024-10-27,1
TI2-0197,S1,S1-Q39771,Explanation excerpt 197 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.712,0.736,0.797,0.896,4,3,5,0.617,2024-11-13,1
TI2-0198,S2,S2-Q05966,Explanation excerpt 198 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.64,0.54,0.7,0.603,4,4,4,0.617,2024-11-02,0
TI2-0199,S3,S3-Q40271,Explanation excerpt 199 from Document Summarization and QA.,PARTIALLY_FAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.936,0.573,0.864,0.66,5,3,3,0.617,2024-10-13,1
TI2-0200,S4,S4-Q13275,Explanation excerpt 200 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.684,0.739,0.721,0.738,4,3,3,0.617,2024-12-04,0
TI2-0201,S1,S1-Q04290,Explanation excerpt 201 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.769,0.663,0.72,0.878,4,5,4,0.676,2024-11-04,0
TI2-0202,S2,S2-Q19964,Explanation excerpt 202 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.799,0.678,0.904,0.735,5,5,3,0.676,2024-10-19,0
TI2-0203,S3,S3-Q29606,Explanation excerpt 203 from Document Summarization and QA.,FAITHFUL,UNFAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.615,0.825,0.938,0.78,5,4,5,0.676,2024-12-23,1
TI2-0204,S4,S4-Q16443,Explanation excerpt 204 from Medical Triage Assistant.,UNFAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.894,0.652,0.755,0.784,4,4,5,0.676,2024-12-14,0
TI2-0205,S1,S1-Q19703,Explanation excerpt 205 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.631,0.779,0.899,0.818,5,5,3,0.676,2024-11-05,0
TI2-0206,S2,S2-Q41627,Explanation excerpt 206 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.691,0.801,0.786,0.641,4,5,4,0.676,2024-11-11,0
TI2-0207,S3,S3-Q42366,Explanation excerpt 207 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.923,0.744,0.651,0.554,3,5,3,0.676,2024-10-23,0
TI2-0208,S4,S4-Q42540,Explanation excerpt 208 from Medical Triage Assistant.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.828,0.715,0.918,0.852,4,5,3,0.676,2024-11-26,0
TI2-0209,S1,S1-Q11613,Explanation excerpt 209 from Customer Support Chatbot.,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.894,0.825,0.945,0.596,5,4,4,0.676,2024-11-17,0
TI2-0210,S2,S2-Q46478,Explanation excerpt 210 from AI Code Assistant IDE Plugin.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.725,0.536,0.834,0.662,3,4,5,0.676,2024-12-31,0
TI2-0211,S3,S3-Q46141,Explanation excerpt 211 from Document Summarization and QA.,FAITHFUL,UNFAITHFUL,UNFAITHFUL,UNFAITHFUL,0.847,0.584,0.709,0.854,3,4,4,0.676,2024-11-20,0
TI2-0212,S4,S4-Q43244,Explanation excerpt 212 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.859,0.769,0.831,0.615,3,5,3,0.676,2024-12-15,0
TI2-0213,S1,S1-Q47770,Explanation excerpt 213 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.874,0.577,0.853,0.917,5,3,5,0.676,2024-12-28,0
TI2-0214,S2,S2-Q42007,Explanation excerpt 214 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.836,0.76,0.906,0.67,4,3,4,0.676,2024-11-22,0
TI2-0215,S3,S3-Q47266,Explanation excerpt 215 from Document Summarization and QA.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.679,0.611,0.776,0.716,4,5,3,0.676,2024-10-01,0
TI2-0216,S4,S4-Q45191,Explanation excerpt 216 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.748,0.53,0.725,0.611,3,5,3,0.676,2024-11-09,0
TI2-0217,S1,S1-Q41046,Explanation excerpt 217 from Customer Support Chatbot.,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,0.927,0.836,0.724,0.725,4,3,5,0.676,2024-11-13,0
TI2-0218,S2,S2-Q40604,Explanation excerpt 218 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.753,0.538,0.784,0.596,3,3,5,0.676,2024-10-08,0
TI2-0219,S3,S3-Q04064,Explanation excerpt 219 from Document Summarization and QA.,UNFAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,0.922,0.677,0.74,0.782,5,3,3,0.676,2024-10-09,1
TI2-0220,S4,S4-Q40456,Explanation excerpt 220 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.863,0.593,0.83,0.794,4,4,3,0.676,2024-10-02,0
TI2-0221,S1,S1-Q22258,Explanation excerpt 221 from Customer Support Chatbot.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.828,0.77,0.658,0.741,5,5,3,0.676,2024-12-15,0
TI2-0222,S2,S2-Q37567,Explanation excerpt 222 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.644,0.704,0.757,0.728,3,5,3,0.676,2024-12-19,0
TI2-0223,S3,S3-Q38308,Explanation excerpt 223 from Document Summarization and QA.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.753,0.884,0.876,0.665,3,3,4,0.676,2024-12-09,0
TI2-0224,S4,S4-Q00530,Explanation excerpt 224 from Medical Triage Assistant.,PARTIALLY_FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.781,0.763,0.693,0.638,4,4,4,0.676,2024-12-11,0
TI2-0225,S1,S1-Q04483,Explanation excerpt 225 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.72,0.767,0.858,0.913,3,5,3,0.676,2024-12-16,0
TI2-0226,S2,S2-Q27440,Explanation excerpt 226 from AI Code Assistant IDE Plugin.,PARTIALLY_FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,0.715,0.542,0.913,0.887,4,5,4,0.676,2024-12-03,0
TI2-0227,S3,S3-Q13969,Explanation excerpt 227 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.684,0.794,0.936,0.673,3,4,5,0.676,2024-11-18,0
TI2-0228,S4,S4-Q23455,Explanation excerpt 228 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,UNFAITHFUL,FAITHFUL,0.611,0.546,0.737,0.622,4,3,3,0.676,2024-12-14,0
TI2-0229,S1,S1-Q11413,Explanation excerpt 229 from Customer Support Chatbot.,UNFAITHFUL,FAITHFUL,UNFAITHFUL,UNFAITHFUL,0.677,0.605,0.702,0.864,3,3,4,0.676,2024-11-01,0
TI2-0230,S2,S2-Q08995,Explanation excerpt 230 from AI Code Assistant IDE Plugin.,FAITHFUL,FAITHFUL,PARTIALLY_FAITHFUL,FAITHFUL,0.733,0.815,0.683,0.896,3,3,5,0.676,2024-11-09,0
TI2-0231,S3,S3-Q28425,Explanation excerpt 231 from Document Summarization and QA.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.907,0.526,0.693,0.892,3,5,5,0.676,2024-10-25,0
TI2-0232,S4,S4-Q16027,Explanation excerpt 232 from Medical Triage Assistant.,FAITHFUL,FAITHFUL,FAITHFUL,FAITHFUL,0.922,0.805,0.826,0.866,5,4,5,0.676,2024-11-07,0
