excerpt_id,interview_id,sector,participant_role,theme_id,code_id,excerpt_text,coder_1_confidence,coder_2_confidence,coding_agreement,excerpt_length_words
EX-205,INT-10,E-Commerce,ML Engineering Manager,TH6,C25,Good scores on HELM but still getting hallucinations daily in production.,4,5,discussed,57
EX-206,INT-12,Manufacturing,AI Systems Architect,TH6,C04,Every system is different so a generic framework wouldn't work for us. Or so we thought.,5,2,discussed,82
EX-207,INT-04,E-Commerce,Senior Data Scientist,TH6,C26,The explanation the model gives often contradicts what it actually did.,3,4,discussed,79
EX-208,INT-02,Healthcare,AI Product Manager,TH6,C25,We lost a client because the system cited a regulation that was repealed.,4,3,agreed,76
EX-209,INT-03,Legal Tech,Head of LLM Engineering,TH6,C26,Our GPU cluster has variance in latency that the LLM API doesn't.,1,1,agreed,57
EX-210,INT-02,Healthcare,AI Product Manager,TH6,C25,There is no transparency by default. You have to build it in deliberately.,2,5,agreed,91
EX-211,INT-09,Legal Tech,VP of Engineering,TH6,C25,We use unit tests and some BLEU scores but they catch nothing about hallucination.,1,4,agreed,111
EX-212,INT-13,Financial Services,Director of AI,TH6,C26,The model confidently states wrong things. That's our biggest worry.,1,3,agreed,75
EX-213,INT-10,E-Commerce,ML Engineering Manager,TH6,C24,Users ask why the system said X and we genuinely cannot tell them.,2,4,agreed,109
EX-214,INT-06,Manufacturing,Applied AI Lead,TH6,C25,Provider went down for four hours and so did our product completely.,1,3,agreed,107
EX-215,INT-14,Healthcare,Chief Data Officer,TH6,C04,We set thresholds by gut feel. There's no industry standard to reference.,5,3,agreed,63
EX-216,INT-12,Manufacturing,AI Systems Architect,TH7,C28,Changing one word in the prompt dropped accuracy by twelve percent.,3,3,agreed,63
EX-217,INT-03,Legal Tech,Head of LLM Engineering,TH7,C29,HIPAA means we need near-zero PII leakage. The default tools don't give us that.,4,1,agreed,102
EX-218,INT-01,Financial Services,Principal ML Engineer,TH7,C27,We have five different monitoring tools and none of them talk to each other.,5,2,discussed,79
EX-219,INT-06,Manufacturing,Applied AI Lead,TH7,C27,The retrieval system pulled the wrong document and the model cited it confidently.,3,3,agreed,104
EX-220,INT-10,E-Commerce,ML Engineering Manager,TH7,C29,Our benchmark scores are great but users keep complaining about wrong answers.,1,1,agreed,61
EX-221,INT-10,E-Commerce,ML Engineering Manager,TH7,C27,We cannot explain to the regulator why the system made that recommendation.,1,3,discussed,96
EX-222,INT-08,Healthcare,Clinical Informatics Lead,TH7,C29,Every model update requires us to re-validate the prompt from scratch.,4,4,agreed,65
EX-223,INT-09,Legal Tech,VP of Engineering,TH7,C27,The audit log exists but it's not structured so we can't query it meaningfully.,3,4,agreed,70
EX-224,INT-11,Software Dev Tooling,Staff Software Engineer,TH7,C29,A confidence score would help but the model just asserts everything equally.,4,5,agreed,53
EX-225,INT-07,Financial Services,LLM Safety Engineer,TH7,C29,GDPR means we need to explain automated decisions. We currently cannot do that.,1,1,agreed,71
EX-226,INT-04,E-Commerce,Senior Data Scientist,TH7,C27,Cost went up three times when we moved to the better model. Quality is hard to quantify.,3,3,agreed,58
EX-227,INT-08,Healthcare,Clinical Informatics Lead,TH7,C29,Our medical team wants 99% factual precision. The 85% default is nowhere near enough.,4,2,agreed,77
EX-228,INT-12,Manufacturing,AI Systems Architect,TH7,C27,We discovered the system was using training data instead of the provided document.,5,5,agreed,55
EX-229,INT-14,Healthcare,Chief Data Officer,TH7,C29,Two weeks after the EU AI Act passed we had an emergency threshold review.,1,4,agreed,82
EX-230,INT-02,Healthcare,AI Product Manager,TH8,C30,"The fragmentation is exhausting. Prometheus for infra, custom scripts for semantics.",5,4,discussed,100
EX-231,INT-07,Financial Services,LLM Safety Engineer,TH8,C30,No citation means users cannot verify anything. Trust just collapses.,1,4,agreed,118
EX-232,INT-03,Legal Tech,Head of LLM Engineering,TH8,C30,We had a P95 latency spike to eight seconds. Our SLA is two.,3,1,discussed,109
EX-233,INT-04,E-Commerce,Senior Data Scientist,TH8,C30,Prompt version control is a spreadsheet. It breaks constantly.,5,4,agreed,78
EX-234,INT-05,Software Dev Tooling,ML Platform Engineer,TH8,C30,The financial regulator asked for decision logs. We had nothing machine-readable.,2,3,agreed,55
EX-235,INT-11,Software Dev Tooling,Staff Software Engineer,TH8,C30,Good scores on HELM but still getting hallucinations daily in production.,5,5,agreed,113
EX-236,INT-06,Manufacturing,Applied AI Lead,TH8,C30,Every system is different so a generic framework wouldn't work for us. Or so we thought.,2,2,agreed,60
EX-237,INT-04,E-Commerce,Senior Data Scientist,TH8,C30,The explanation the model gives often contradicts what it actually did.,5,2,agreed,62
